course_id,course_title,course_url,course_instructor,course_rating,course_duration,course_details,course_level,course_no_of_reviews,course_no_of_enrolled
ud_2472180,Complete guide to building an app with .Net Core and React,https://www.udemy.com/course/complete-guide-to-building-an-app-with-net-core-and-react/,Neil Cummings,4.60118,35.5,,0,7022,42500
ud_1968412,The Bootstrap 4 Bootcamp,https://www.udemy.com/course/bootstrap-4-bootcamp/,Colt Steele,4.6219387,11.5,,1,7013,29585
ud_2782800,20 Web Projects With Vanilla JavaScript,https://www.udemy.com/course/web-projects-with-vanilla-javascript/,Brad Traversy,4.644717,16.0,,0,6895,39683
ud_1523224,Nuxt.js 2 - Vue.js on Steroids,https://www.udemy.com/course/nuxtjs-vuejs-on-steroids/,Academind by Maximilian Schwarzmüller,4.8221974,6.5,,2,6793,33452
ud_3655840,The Ultimate 2023 Fullstack Web Development Bootcamp,https://www.udemy.com/course/the-ultimate-fullstack-web-development-bootcamp/,Kane Ezki,4.640704,40.0,,0,6608,30701
ud_1277924,Angular Front To Back,https://www.udemy.com/course/angular-4-front-to-back/,Brad Traversy,4.2661214,11.5,,0,6603,24979
ud_631128,Web Developer Bootcamp with Flask and Python in 2023,https://www.udemy.com/course/web-developer-bootcamp-flask-python/,Jose Salvatierra,4.627845,19.5,,2,6598,45455
ud_4015622,100 Days Of Code - 2024 Web Development Bootcamp,https://www.udemy.com/course/100-days-of-code-web-development-bootcamp/,Academind by Maximilian Schwarzmüller,4.6629744,79.5,,0,6557,39988
ud_4015616,Python Django - The Practical Guide,https://www.udemy.com/course/python-django-the-practical-guide/,Academind by Maximilian Schwarzmüller,4.6369686,23.0,,1,6513,39863
ud_886300,Accelerated JavaScript Training,https://www.udemy.com/course/javascript-bootcamp-2016/,Maximilian Schwarzmüller,4.5213223,7.5,,0,6455,30904
ud_1635492,Master Java Unit Testing with Spring Boot & Mockito,https://www.udemy.com/course/learn-unit-testing-with-spring-boot/,in28Minutes Official,4.523265,4.0,,0,6405,31675
ud_1480202,RESTful Web API - The Complete Guide (.NET7  API) Part 1,https://www.udemy.com/course/restful-api-with-asp-dot-net-core-web-api/,Bhrugen Patel,4.664073,9.0,,2,6295,42355
ud_4174580,NestJS: The Complete Developer's Guide,https://www.udemy.com/course/nestjs-the-complete-developers-guide/,Stephen Grider,4.679337,20.0,,0,6285,36849
ud_1885262,Angular Core Deep Dive - Beginner to Advanced (Angular 17),https://www.udemy.com/course/angular-course/,Angular University,4.5479937,12.0,,0,6281,33093
ud_1673770,NgRx (with NgRx Data) - The Complete Guide (Angular 17),https://www.udemy.com/course/ngrx-course/,Angular University,4.484272,6.5,,0,6214,27871
ud_4993276,[NEW] Master Spring Boot 3 & Spring Framework 6 with Java,https://www.udemy.com/course/spring-boot-and-spring-framework-tutorial-for-beginners/,in28Minutes Official,4.5411935,38.5,,0,5981,38734
