,course_title,course_id,course_url,course_instructor,course_rating,course_no_of_reviews,course_duration,course_level,course_no_of_enrolled,course_details
166,Introduction to Android Mobile Application Development ,ce_101206,https://www.coursera.org/learn/introduction-to-android-mobile-application-development,Taught by Meta Staff,4.7,1100.0,11.0,1,52739,"Define the Fundamental concepts of Android app development Set up and explore the Android Studio interface, configurations and built-in tools  Use Kotlin Playground Create a simple Android app Android Studio Application development Mobile Development Introduction to Mobile Application Development Emulation and Development Building the app"
167,Foundations of Teaching for Learning: Curriculum,ce_101207,https://www.coursera.org/learn/teacher-curriculum,Associate Professor Suseela Malakolunthu,4.6,383.0,10.0,0,34290,Education Curriculum Development Pedagogy Planning Getting to know the curriculum Curriculum development Putting students first Putting Curriculum to Work Theories and Theorists Optimizing Curriculum Outcomes
168,APIs,ce_101208,https://www.coursera.org/learn/apis,Taught by Meta Staff,4.4,235.0,20.0,2,27790,API development Principles of REST architecture Build a basic API Filtering and ordering Serializers and deserializers Authentication and authorization Debugging REST APIs REST APIs Django REST framework Advanced API development Final project assessment
169,Inove na gestÃ£o de equipes e negÃ³cios: O crescimento da empresa,ce_101209,https://www.coursera.org/learn/gestao-equipes-negocios,Artur Vilas Boas,4.8,249.0,12.0,1,35789,"IntroduÃ§Ã£o, cultura e o papel do CEO Desenvolvimento de talentos e gestÃ£o de pessoas Product Development OperaÃ§Ãµes"
170,Introduction to Databases for Back-End Development,ce_101210,https://www.coursera.org/learn/intro-to-databases-back-end-development,Taught by Meta Staff,4.6,510.0,27.0,1,33643,"Concepts and principles that underpin how databases work. Plan and execute a simple database development project. database administration MySQL Database (DBMS) Introduction to Databases Create, Read, Update and Delete (CRUD) Operations SQL Operators and sorting and filtering data Database design Graded assessment"
171,Optimizing a Website for Google Search,ce_101211,https://www.coursera.org/learn/optimizing-web-search,Rebekah May,4.7,1600.0,13.0,2,79295,"Use keyword research to select best keywords to optimize your website in search results   Examine how to analyze, organize, create, and build content utilizing various strategies    Use best practices to develop a high quality local SEO approach   Develop a solid approach for achieving a productive and successful relationship with your client   Keyword Research Marketing Content Marketing Mathematical Optimization Introduction to Optimizing a Website for Google Search Advanced SEO Strategies Mobile/App SEO and Metrics & KPIs Creating an SEO Campaign"
172,Machine Learning Capstone,ce_101212,https://www.coursera.org/learn/machine-learning-capstone,Yan Luo,4.5,51.0,18.0,2,9809,"Compare and contrast different machine learning algorithms by creating recommender systems in Python   Develop a final project using machine learning methods and evaluate your peersâ projects    Predict course ratings by training a neural network and constructing regression and classification models   Create recommendation systems by applying your knowledge of KNN, PCA, and non-negative matrix collaborative filtering   Artificial Neural Network Data Analysis Python Programming Supervised Learning unsupervised machine learning Capstone Overview Exploratory Data Analysis and Feature Engineering  Unsupervised-Learning Based Recommender System Supervised-Learning Based Recommender Systems Share and Present Your Recommender Systems Final Submission"
173,Automating Real-World Tasks with Python,ce_101213,https://www.coursera.org/learn/automating-real-world-tasks-python,Google Career Certificates,4.8,2400.0,21.0,1,74449,"Use Python external libraries to create and modify documents, images, and messages Understand and use Application Programming Interfaces (APIs) to interact with web services Understand and use data serialization to send messages between running programs Build a solution using the skills you have learned Building a Solution Interacting with Web Services Serialization Creating and Translating Media Files Manipulating images Interacting with Web Services Automatic Output Generation Putting It All Together Career Resources"
174,"Graph Search, Shortest Paths, and Data Structures",ce_101214,https://www.coursera.org/learn/algorithms-graphs-data-structures,Tim Roughgarden,4.8,2000.0,15.0,2,84779,Graphs Data Structure Algorithms Hash Table Week 1 Week 2 Week 3 Week 4
175,Digital Strategy and Business Opportunity,ce_101215,https://www.coursera.org/learn/digital-strategy-business-opportunity,Digital Marketing Institute,4.6,266.0,10.0,1,24327,"How digital, social, and mobile technology are changing consumer behavior and expectations to present new challenges and opportunities for businesses How digital research and social listening tools and tactics can provide insights into a business's audience and competitors How to use the principles of content marketing with a creative strategy to find, reach, and engage target audiences Digital Strategy Digital Research Content Marketing Digital Marketing Digital transformation Digital Disruption and Business Opportunity Digital Marketing and Digital Strategy Digital Content and Creative Strategy"
176,Introduction to iOS Mobile Application Development,ce_101216,https://www.coursera.org/learn/introduction-to-ios-mobile-application-development,Taught by Meta Staff,4.7,774.0,11.0,1,36691,iOS mobile app development  UI development Project development Swift syntax iOS App Development Application development Mobile Development Introduction to Mobile Application Development Simulation and Development Building the app
177,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,ce_101217,https://www.coursera.org/learn/elearning,Dr William Cope,4.8,1300.0,19.0,0,46492,Module 1: Course Orientation + Ubiquitous Learning Module 2: Active Knowledge Making + Multimodal Meaning Module 3: Recursive Feedback + Collaborative Intelligence Module 4: Metacogniton + Differentiated Learning
178,Introduction to User Experience Principles and Processes,ce_101218,https://www.coursera.org/learn/introtoux-principles-and-processes,Mark Newman,4.8,1500.0,11.0,1,78984,Understand the fields of UX design and UX research. Understand design principles and best practices and their basis in human capabilities and behavior Incorporate a user-centered focus into the design process User Experience (UX) Human Computer Interaction (HCI) UX Research Design Heuristics What is UX? What are UX Research and Design? UX Design Overview How Do People Perceive Information? How Do People Act in the World? Design Heuristics Heuristic Evaluation and Course Wrap-up
179,Full Stack Application Development Capstone Project,ce_101219,https://www.coursera.org/learn/ibm-cloud-native-full-stack-development-capstone,Upkar Lidder,4.3,114.0,16.0,2,21722,"Combine and apply your JavaScript, React.js, Python, Node.js, and Express skills by completing a real-world project. Build a real-world web application using front end and back-end technology. Deploy your Django full stack web application on the cloud using containers and serverless. Practice DevOps principles by employing CI/CD pipelines. Django (Web Framework) Node.Js Full Stack Development Web Application JavaScript Application - Static Pages Application  - User Management Back End Services	 Application - Dynamic Pages CI/CD, Containerize & Deploy to Kubernetes Share Your Project Enhancement of Car Dealership Portal"
180,Smart Contracts,ce_101220,https://www.coursera.org/learn/smarter-contracts,Bina Ramamurthy,4.6,2300.0,17.0,2,67423,"This second course of the Blockchain specialization will help you design, code, deploy and execute a smart contract. Smart Contract Cryptocurrency Solidity Remix IDE Blockchain Smart Contract Basics Solidity Putting it all Together Best Practices"
181,Product Analytics and AI,ce_101221,https://www.coursera.org/learn/uva-darden-agile-analytics,Alex Cowan,4.7,450.0,14.0,1,28773,"How to naturally, habitually tie your teamâs work to actionable analytics that help you drive to user value. How to pair your hypotheses on customer personas and problem with analytics. How to test propositions (a la Lean Startup) so you donât build features no one wants. How to instrument actionable observation into everything you build (a la Lean UX). Software Development Product Management Agile Software Development Introduction and Customer Analytics Demand Analytics UX Analytics Analytics and Data Science"
182,Desenvolvimento Ãgil com Java AvanÃ§ado,ce_101222,https://www.coursera.org/learn/desenvolvimento-agil-com-java-avancado,Clovis Fernandes,4.7,195.0,17.0,2,19930,Java Database Connectivity (JDBC) Servlets Web Lambda Calculus Semana 1 Semana 2 Semana 3 Semana 4
183,Healthcare Organizations and the Health System,ce_101223,https://www.coursera.org/learn/healthcare-organizations-health-system,"Margaret Kilduff, Ph.D.",4.6,309.0,17.0,1,22876,Public Health and Wellness Healthcare Organization Operations Pharmacy Healthcare Organization Operations Healthcare Administration Medical Healthcare Organization Operations Dental Healthcare Organization Operations Lesson One: Healthcare Organizations and the Health System Lesson Two: Healthcare Administration and Management Lesson Three: Governance Lesson Four: Design a Governance Structure for a Healthcare Organization
